Id,Geography,MedianIncome
0500000US05051,"Garland County, Arkansas",41672
0500000US05053,"Grant County, Arkansas",49968
0500000US05055,"Greene County, Arkansas",45566
0500000US05057,"Hempstead County, Arkansas",38701
0500000US05059,"Hot Spring County, Arkansas",40626
0500000US05061,"Howard County, Arkansas",34851
0500000US05063,"Independence County, Arkansas",39945
0500000US05065,"Izard County, Arkansas",39135
0500000US05067,"Jackson County, Arkansas",32783
0500000US05069,"Jefferson County, Arkansas",37630
0500000US05071,"Johnson County, Arkansas",35758
0500000US05073,"Lafayette County, Arkansas",32500
0500000US05075,"Lawrence County, Arkansas",37603
0500000US05077,"Lee County, Arkansas",27901
0500000US05079,"Lincoln County, Arkansas",38873
0500000US05081,"Little River County, Arkansas",36963
0500000US05083,"Logan County, Arkansas",37982
0500000US05085,"Lonoke County, Arkansas",57290
0500000US05087,"Madison County, Arkansas",42894
0500000US05089,"Marion County, Arkansas",36113
0500000US05091,"Miller County, Arkansas",41862
0500000US05093,"Mississippi County, Arkansas",36417
0500000US05095,"Monroe County, Arkansas",31584
0500000US05097,"Montgomery County, Arkansas",35252
0500000US05099,"Nevada County, Arkansas",36995
0500000US05101,"Newton County, Arkansas",38134
0500000US05103,"Ouachita County, Arkansas",32136
0500000US05105,"Perry County, Arkansas",46168
0500000US05107,"Phillips County, Arkansas",26652
0500000US05109,"Pike County, Arkansas",36893
0500000US05111,"Poinsett County, Arkansas",37487
0500000US05113,"Polk County, Arkansas",33870
0500000US05115,"Pope County, Arkansas",40668
0500000US05117,"Prairie County, Arkansas",41244
0500000US05119,"Pulaski County, Arkansas",48850
0500000US05121,"Randolph County, Arkansas",35930
0500000US05123,"St. Francis County, Arkansas",33102
0500000US05125,"Saline County, Arkansas",58985
0500000US05127,"Scott County, Arkansas",37396
0500000US05129,"Searcy County, Arkansas",36716
0500000US05131,"Sebastian County, Arkansas",40932
0500000US05133,"Sevier County, Arkansas",43675
0500000US05135,"Sharp County, Arkansas",31792
0500000US05137,"Stone County, Arkansas",33091
0500000US05139,"Union County, Arkansas",41106
0500000US05141,"Van Buren County, Arkansas",34428
0500000US05143,"Washington County, Arkansas",47452
0500000US05145,"White County, Arkansas",44074
0500000US05147,"Woodruff County, Arkansas",30097
0500000US05149,"Yell County, Arkansas",39696
0500000US06001,"Alameda County, California",85743
0500000US06003,"Alpine County, California",63438
0500000US06005,"Amador County, California",60636
0500000US06007,"Butte County, California",46516
0500000US06009,"Calaveras County, California",54800
0500000US06011,"Colusa County, California",56481
0500000US06013,"Contra Costa County, California",88456
0500000US06015,"Del Norte County, California",41287
0500000US06017,"El Dorado County, California",74885
0500000US06019,"Fresno County, California",48730
0500000US06021,"Glenn County, California",46260
0500000US06023,"Humboldt County, California",43718
0500000US06025,"Imperial County, California",44779
0500000US06027,"Inyo County, California",51500
0500000US06029,"Kern County, California",50826
0500000US06031,"Kings County, California",49742
0500000US06033,"Lake County, California",40446
0500000US06035,"Lassen County, California",54083
0500000US06037,"Los Angeles County, California",61015
0500000US06039,"Madera County, California",48210
0500000US06041,"Marin County, California",104703
0500000US06043,"Mariposa County, California",51385
0500000US06045,"Mendocino County, California",46528
0500000US06047,"Merced County, California",46338
0500000US06049,"Modoc County, California",39296
0500000US06051,"Mono County, California",60595
0500000US06053,"Monterey County, California",63249
0500000US06055,"Napa County, California",79637
0500000US06057,"Nevada County, California",60610
0500000US06059,"Orange County, California",81851
0500000US06061,"Placer County, California",80488
0500000US06063,"Plumas County, California",50266
0500000US06065,"Riverside County, California",60807
0500000US06067,"Sacramento County, California",60239
0500000US06069,"San Benito County, California",80760
0500000US06071,"San Bernardino County, California",57156
0500000US06073,"San Diego County, California",70588
0500000US06075,"San Francisco County, California",96265
0500000US06077,"San Joaquin County, California",57813
0500000US06079,"San Luis Obispo County, California",67175
